,GlobalComps,Score
0,1,0.10578105293869393
1,2,0.1584423767664624
2,3,0.18234421142435667
3,4,0.19927562109398927
4,5,0.20527955702626466
5,6,0.21057807382133178
6,7,0.21519643293801768
7,8,0.21699522839652827
8,9,0.2199176006606402
9,10,0.22182724762648792
10,11,0.22386701825072874
11,12,0.2246098503422001
12,13,0.22646778325995767
13,14,0.22768560168904797
14,15,0.22768560168904797
15,16,0.22768560168904797
16,17,0.22768560168904797
17,18,0.22768560168904797
18,19,0.22768560168904797
19,20,0.22768560168904797
20,21,0.22768560168904797
21,22,0.22768560168904797
22,23,0.22768560168904797
23,24,0.22768560168904797
24,25,0.22768560168904797
25,26,0.22768560168904797
26,27,0.22768560168904797
27,28,0.22768560168904797
28,29,0.22768560168904797
29,30,0.22768560168904797
30,31,0.22768560168904797
31,32,0.22768560168904797
32,33,0.22768560168904797
33,34,0.22768560168904797
34,35,0.22768560168904797
35,36,0.22768560168904797
36,37,0.22768560168904797
37,38,0.22768560168904797
38,39,0.22768560168904797
39,40,0.22768560168904797
40,41,0.22768560168904797
41,42,0.22768560168904797
42,43,0.22768560168904797
43,44,0.22768560168904797
44,45,0.22768560168904797
45,46,0.22768560168904797
46,47,0.22768560168904797
47,48,0.22768560168904797
48,49,0.22768560168904797
49,50,0.22768560168904797
