,Braak
hsa-miR-423-5p,-0.3696541086125401
hsa-miR-576-3p,0.3687360797608702
hsa-miR-337-5p,0.36795721097046125
hsa-miR-548a-3p,0.3675622651862923
hsa-miR-12136,-0.36556067345369525
hsa-miR-15a-5p,0.36453093021806526
hsa-miR-539-3p,0.3644648733101765
hsa-miR-24-2-5p,0.3628922720826849
hsa-miR-21-5p,0.36191795090475126
hsa-miR-4787-3p,-0.36131759186148776
hsa-miR-576-5p,0.35920505475478326
hsa-miR-134-5p,-0.3586342492393004
hsa-miR-1306-5p,-0.35797613158269825
hsa-miR-27b-5p,0.35754047783997717
hsa-miR-139-5p,-0.35728995128291646
hsa-miR-181b-3p,0.3570003143200141
hsa-miR-128-1-5p,-0.35603225709121317
hsa-miR-323a-5p,-0.3549064021493102
hsa-miR-5100,-0.35280765454460244
hsa-miR-589-5p,-0.3524968102647437
hsa-miR-125b-2-3p,-0.3524185520110356
hsa-miR-136-5p,0.35181915713485684
hsa-miR-485-3p,-0.351353176437324
hsa-miR-660-5p,0.3499377730450171
hsa-miR-517a-3p,0.3490135764216561
hsa-miR-517b-3p,0.3490135764216561
hsa-miR-655-3p,0.3479743613537323
hsa-miR-29b-2-5p,-0.34622573353617603
hsa-miR-338-5p,0.3459945978190353
hsa-miR-516a-5p,0.3435703900047334
hsa-miR-376a-3p,0.3424634076758207
hsa-miR-186-5p,0.34151225743444313
hsa-miR-376c-3p,0.3409545934121782
hsa-miR-137-5p,-0.33949942245278886
hsa-miR-16-2-3p,0.33913278652044815
hsa-miR-142-5p,0.33870927539391227
hsa-miR-3065-3p,0.33702930689988125
hsa-miR-885-3p,-0.336078184131896
hsa-miR-485-5p,-0.3353848176156286
hsa-miR-345-5p,-0.3316123448044712
hsa-miR-665,-0.3302470890799303
hsa-miR-105-5p,-0.3291070790024029
hsa-miR-484,-0.3278243637690685
hsa-miR-941,-0.32773157195137714
hsa-miR-1306-3p,-0.32725226096300536
hsa-miR-30c-5p,0.32576974372975265
hsa-miR-409-5p,-0.32341048737646094
hsa-miR-532-3p,-0.3221840101141331
hsa-miR-708-3p,0.3201334439169153
hsa-let-7a-3p,0.3181364469043542
hsa-miR-380-3p,0.31768082041720835
hsa-miR-7-1-3p,0.3174447801385008
hsa-miR-887-3p,-0.3172138860409467
hsa-miR-153-3p,0.31706026413540145
hsa-miR-574-5p,-0.31668149083367225
hsa-miR-450b-5p,0.31641098525648786
hsa-miR-139-3p,-0.3140250446747038
hsa-miR-301a-5p,0.3128085213616383
hsa-miR-548am-5p,0.3083122218875842
hsa-miR-3059-5p,-0.3074280084756529
hsa-miR-140-3p,0.30718247356832246
hsa-miR-339-5p,-0.306458171246275
hsa-miR-651-5p,0.3060507124323571
hsa-miR-30a-5p,0.30439558205158135
hsa-let-7g-3p,-0.30302741168759456
hsa-miR-184,0.30292650240789926
hsa-miR-3200-5p,0.3028197176159569
hsa-miR-3065-5p,0.3017765590786851
hsa-miR-362-5p,-0.3016956950942726
hsa-miR-4286,-0.30076959024195354
hsa-miR-138-5p,-0.29613885706267523
hsa-miR-130b-3p,0.29592405097340935
hsa-miR-18a-5p,0.29501466525570397
hsa-miR-380-5p,0.295012005663922
hsa-miR-708-5p,0.2949832391298371
hsa-miR-155-5p,0.2947323132974511
hsa-miR-548e-3p,0.29316071262452553
hsa-miR-142-3p,0.2927437228499338
hsa-miR-491-3p,0.29242506085478426
hsa-miR-146b-5p,0.2921916933385621
hsa-miR-134-3p,-0.2883026769710591
hsa-miR-29c-3p,0.28628845660276536
hsa-miR-20a-3p,0.28534726371854335
hsa-miR-503-5p,-0.2841494571088142
hsa-miR-519a-3p,0.2840351437533713
hsa-miR-129-1-3p,-0.28392834314918197
hsa-miR-339-3p,0.28389041688998046
hsa-miR-363-3p,0.2836267292534102
hsa-miR-145-3p,0.28305595826962543
hsa-miR-15b-3p,0.28228429820566286
hsa-miR-9-5p,0.2796437991094406
hsa-miR-548o-5p,0.2793429332972137
hsa-miR-548c-5p,0.2791488586853703
hsa-miR-320a-3p,-0.27862782843843953
hsa-miR-34c-3p,0.27769484019015334
hsa-miR-106a-5p,0.27520623607998906
hsa-miR-3943,-0.2751648678179702
hsa-miR-654-3p,0.2729679191743645
hsa-miR-376a-2-5p,0.2727270216569484
hsa-miR-574-3p,-0.27232835858800025
hsa-miR-6516-3p,0.27226504269902996
hsa-miR-1247-5p,-0.27171884836568316
hsa-miR-770-5p,-0.2692559369057428
hsa-miR-490-5p,-0.2682199791060502
hsa-miR-377-3p,0.2678302753370055
hsa-miR-488-5p,-0.2662370900424195
hsa-miR-138-1-3p,0.26206867325932054
hsa-miR-487b-5p,-0.2619555213863241
hsa-miR-92b-5p,-0.2613480799629748
hsa-miR-433-5p,-0.2601289486745338
hsa-miR-210-3p,-0.2598718529882483
hsa-miR-203b-3p,0.25908610681320127
hsa-miR-145-5p,-0.25898723765766263
hsa-miR-103a-2-5p,-0.25688049168607147
hsa-miR-2682-5p,0.25592783721162055
hsa-miR-99a-5p,0.2559077288209477
hsa-miR-598-3p,0.255251990943942
hsa-miR-542-3p,0.251727079391603
hsa-miR-30b-3p,-0.25018981995342576
hsa-miR-320d,0.24895003651818176
hsa-let-7d-5p,0.2487361678842021
hsa-miR-1260a,-0.24647182326673525
hsa-miR-154-3p,0.2456871403738967
hsa-let-7e-3p,-0.24562166296561871
hsa-miR-519a-5p,-0.24535550922204852
hsa-miR-193b-5p,-0.24351795262245138
hsa-miR-369-3p,0.24301571994867308
