,NodesPerBlock,Config,Selection Method,NodeCount,EdgeCount,Accuracy,Precision,Recall,F1Score
0,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
1,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
2,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
3,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
4,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
5,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
6,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
7,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
8,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
9,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
10,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
11,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
12,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
13,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
14,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
15,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
16,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
17,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
18,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
19,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
20,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
21,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
22,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
23,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
24,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
25,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
26,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
27,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
28,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
29,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
30,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
31,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
32,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
33,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
34,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
35,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
36,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
37,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
38,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
39,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
40,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
41,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
42,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
43,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
44,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
45,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
46,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
47,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
48,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
49,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
50,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
51,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
52,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
53,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
54,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
55,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
56,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
57,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
58,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
59,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
60,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
61,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
62,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
63,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
64,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
65,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
66,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
67,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
68,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
69,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
70,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
71,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
72,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
73,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
74,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
75,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
76,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
77,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
78,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
79,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
80,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
81,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
82,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
83,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
84,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
85,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
86,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
87,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
88,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
89,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
90,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
91,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
92,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
93,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
94,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
95,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
96,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
97,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
98,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
99,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
100,5,Config(wb),OnPLs,16,24,0.8666666666666666,0.7892857142857144,0.8380952380952381,0.8119413919413919
101,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
102,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
103,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
104,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
105,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
106,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
107,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
108,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
109,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
110,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
111,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
112,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
113,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
114,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
115,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
116,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
117,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
118,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
119,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
120,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
121,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
122,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
123,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
124,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
125,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
126,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
127,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
128,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
129,15,Config(wb),OnPLs,46,71,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
130,15,Config(wb),OnPLs,46,72,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
131,15,Config(wb),OnPLs,46,71,0.7833333333333333,0.7880952380952381,0.8285714285714286,0.7474725274725275
132,15,Config(wb),OnPLs,46,72,0.8666666666666666,0.8547619047619047,0.8857142857142858,0.8541391941391941
